wavelength_A	flux_0Myr	flux_10Myr	flux_20Myr	flux_30Myr	flux_40Myr	flux_50Myr	flux_60Myr	flux_70Myr	flux_80Myr	flux_90Myr	flux_100Myr	flux_200Myr	flux_300Myr	flux_400Myr	flux_500Myr	flux_600Myr	flux_700Myr	flux_800Myr	flux_900Myr	flux_1000Myr
7831.0	1.3514794951601656e+41	7.75942248420468e+40	4.3257097268152803e+40	3.3090778244210903e+40	2.797551794617893e+40	2.364094995902209e+40	1.9858764230195598e+40	1.9858764230195598e+40	1.738692301866038e+40	1.5447510987462466e+40	1.5447510987462466e+40	1.0539374529500292e+40	8.453201091486777e+39	7.03948482768139e+39	6.248389263462829e+39	5.548738455304588e+39	5.548738455304588e+39	4.933307574448734e+39	4.3974172813633155e+39	4.3974172813633155e+39
7836.0	1.3491070347046274e+41	7.756250605532759e+40	4.326190603564448e+40	3.310115925538157e+40	2.7986140599653805e+40	2.3653091298633264e+40	1.987117337090421e+40	1.987117337090421e+40	1.740140833799784e+40	1.5464727617427452e+40	1.5464727617427452e+40	1.0551771848154299e+40	8.461941240958332e+39	7.04613115718043e+39	6.25239779544825e+39	5.549860547495353e+39	5.549860547495353e+39	4.931918768457851e+39	4.39642120073054e+39	4.39642120073054e+39
7841.0	1.3464040533894591e+41	7.801426723157011e+40	4.3540640924773576e+40	3.330442303498229e+40	2.814563460498085e+40	2.3777581109063837e+40	1.9965741945343734e+40	1.9965741945343734e+40	1.7478270280229352e+40	1.5530173455050748e+40	1.5530173455050748e+40	1.0609528700581395e+40	8.506773764431438e+39	7.081584142026899e+39	6.282550129393978e+39	5.574655079461619e+39	5.574655079461619e+39	4.952494176656425e+39	4.4167075529368857e+39	4.4167075529368857e+39
7846.0	1.3431324907530126e+41	7.829880654545694e+40	4.371637986700739e+40	3.3422967847824985e+40	2.8234723315821605e+40	2.384508481376092e+40	2.0014316631585445e+40	2.0014316631585445e+40	1.7514480765668857e+40	1.5557928058101025e+40	1.5557928058101025e+40	1.0639539478365231e+40	8.528326710148991e+39	7.098822431032903e+39	6.297128827221723e+39	5.585433748025267e+39	5.585433748025267e+39	4.96016385086694e+39	4.424062486054336e+39	4.424062486054336e+39
7851.0	1.3389445994903084e+41	7.833011845902597e+40	4.374018940160408e+40	3.342950354975319e+40	2.823481305516438e+40	2.3844191798436695e+40	2.0011469684301256e+40	2.0011469684301256e+40	1.7509233804035292e+40	1.5551749399019077e+40	1.5551749399019077e+40	1.0642754923142054e+40	8.52955476871961e+39	7.099929277558119e+39	6.297464091441585e+39	5.583743255572449e+39	5.583743255572449e+39	4.9555955667192675e+39	4.418228351921131e+39	4.418228351921131e+39
7856.0	1.3347037453925246e+41	7.846172172953075e+40	4.381855802322201e+40	3.3482618918203674e+40	2.827328255904629e+40	2.3874381482675204e+40	2.0031339639238794e+40	2.0031339639238794e+40	1.7521945509159467e+40	1.5563199410441856e+40	1.5563199410441856e+40	1.065179584959428e+40	8.533492741945566e+39	7.099386958015698e+39	6.294656209147458e+39	5.57987409637033e+39	5.57987409637033e+39	4.949950404502347e+39	4.413270921981913e+39	4.413270921981913e+39
7861.0	1.3311350987989186e+41	7.857193925365464e+40	4.38785583810091e+40	3.352515634996965e+40	2.830331866024424e+40	2.3895300356437723e+40	2.0041673987879113e+40	2.0041673987879113e+40	1.7526559899863107e+40	1.5568353023166237e+40	1.5568353023166237e+40	1.0653366844019362e+40	8.528388983671643e+39	7.088480253101368e+39	6.28083309359406e+39	5.564896821850977e+39	5.564896821850977e+39	4.934991584490627e+39	4.40253908009923e+39	4.40253908009923e+39
7866.0	1.3285390449267443e+41	7.840518800790004e+40	4.377253970596688e+40	3.3439573589065778e+40	2.8228070727505257e+40	2.3828453904800227e+40	1.998123917031075e+40	1.998123917031075e+40	1.747270001766605e+40	1.5523672517335507e+40	1.5523672517335507e+40	1.0626944180326238e+40	8.502835122890412e+39	7.062659368781963e+39	6.253977112994061e+39	5.537680745161114e+39	5.537680745161114e+39	4.908758541140569e+39	4.380587985468057e+39	4.380587985468057e+39
7871.0	1.3268992871568855e+41	7.793668502049484e+40	4.3487406280861797e+40	3.321501909765665e+40	2.8038119922559626e+40	2.366802500210547e+40	1.9844201293539967e+40	1.9844201293539967e+40	1.7352326336438724e+40	1.5421740421982196e+40	1.5421740421982196e+40	1.0574830733338755e+40	8.46088925779102e+39	7.028444291317316e+39	6.222750111084466e+39	5.508802516241736e+39	5.508802516241736e+39	4.881565277000117e+39	4.3544591956384727e+39	4.3544591956384727e+39
7876.0	1.3260384256119094e+41	7.758003693573942e+40	4.327852949418488e+40	3.3051696759042584e+40	2.7901243939763337e+40	2.3555364433304686e+40	1.9749285429830665e+40	1.9749285429830665e+40	1.7269228540012387e+40	1.5353679846289243e+40	1.5353679846289243e+40	1.0543071048768256e+40	8.433221018455045e+39	7.007098489877649e+39	6.205194851902995e+39	5.493445984709227e+39	5.493445984709227e+39	4.8676288563421165e+39	4.3407111227787525e+39	4.3407111227787525e+39
